date,koreagdppc,greecegdppc
1960-01-01,1027.46853843186,5028.72080442033
1961-01-01,1066.61051506809,5647.74602577453
1962-01-01,1076.92082427716,5634.67926905526
1963-01-01,1141.82065947690,6278.76888143690
1964-01-01,1217.72626522374,6844.71587719199
1965-01-01,1274.04150740789,7546.37190687879
1966-01-01,1391.42024943415,7977.39599258808
1967-01-01,1482.72648976961,8361.29986726214
1968-01-01,1639.45298202879,8905.50233780902
1969-01-01,1836.14588183010,9899.06558493403
1970-01-01,1977.07104276071,10730.66847210300
1971-01-01,2142.90070130043,11521.98298978660
1972-01-01,2254.79802440249,12610.39467392960
1973-01-01,2545.31617074861,13569.11354017910
1974-01-01,2740.08862233380,12648.84462160620
1975-01-01,2905.62381684240,13328.47414840890
1976-01-01,3237.68299953481,14022.23226904780
1977-01-01,3580.81916869842,14248.03260250540
1978-01-01,3913.12386875889,15083.71848689840
1979-01-01,4188.42228114109,15385.76350493460
1980-01-01,4055.79084165206,15338.54466539340
1981-01-01,4282.34337047068,14965.44059794490
1982-01-01,4568.25911792900,14705.00416107960
1983-01-01,5103.52301682838,14462.01835610710
1984-01-01,5572.83257003943,14679.47955247710
1985-01-01,5950.80042847995,14989.55356963950
1986-01-01,6559.29071439433,15017.39486715230
1987-01-01,7321.39277022591,14629.17657865200
1988-01-01,8119.16798137142,15201.14485003570
1989-01-01,8607.86582512298,15696.66100916570
1990-01-01,9365.39498597615,15531.49557808530
1991-01-01,10272.62069799780,15821.90887979150
1992-01-01,10796.60465424390,15811.41904580370
1993-01-01,11422.51465220220,15467.18062613990
1994-01-01,12356.27828517670,15697.72812646050
1995-01-01,13408.68141733470,15952.63176290530
1996-01-01,14329.53930592630,16337.06517379870
1997-01-01,15071.75638912180,16985.66006235340
1998-01-01,14195.81309311570,17549.70279230920
1999-01-01,15711.56402106450,18019.70127691190
2000-01-01,16992.47907636890,18649.59140219490
2001-01-01,17680.84549177700,19319.41995577240
2002-01-01,18936.95165209740,20003.83414392980
2003-01-01,19431.97111035340,21112.51889138090
2004-01-01,20361.06925435450,22126.21085414950
2005-01-01,21193.35751352980,22193.60026689590
2006-01-01,22192.18512079440,23377.76234206530
2007-01-01,23360.90573538210,24081.66302652820
2008-01-01,23882.73049514930,23937.32003630880
2009-01-01,23948.47224385820,22847.66510833840
2010-01-01,25451.00415546660,21568.01821058920
2011-01-01,26186.89754229780,19407.70491243210
2012-01-01,26675.44017085590,18130.96165866370
2013-01-01,27394.65030745070,17762.18346150860
2014-01-01,28094.91770298680,18005.72928402630
2015-01-01,28732.23107625990,18050.09761007460
2016-01-01,29461.78400711180,18036.53921670270
2017-01-01,30307.39523649100,18303.72160412910
2018-01-01,31040.65544585760,18626.82437069720
2019-01-01,31610.91900420710,18992.66020200820
2020-01-01,31264.94064700800,17436.00689283480
