DATE,NGDPRXDCKRA
1960-01-01,29070100.0
1961-01-01,31086400.0
1962-01-01,32297300.0
1963-01-01,35210800.0
1964-01-01,38546500.0
1965-01-01,41367500.0
1966-01-01,46329100.0
1967-01-01,50535700.0
1968-01-01,57189000.0
1969-01-01,65516500.0
1970-01-01,72102700.0
1971-01-01,79706300.0
1972-01-01,85456500.0
1973-01-01,98188100.0
1974-01-01,107527600.0
1975-01-01,115957900.0
1976-01-01,131289100.0
1977-01-01,147484900.0
1978-01-01,163638900.0
1979-01-01,177828400.0
1980-01-01,174901900.0
1981-01-01,187575500.0
1982-01-01,203215800.0
1983-01-01,230398300.0
1984-01-01,254709100.0
1985-01-01,274675400.0
1986-01-01,305788600.0
1987-01-01,344696100.0
1988-01-01,386017500.0
1989-01-01,413320000.0
1990-01-01,454146000.0
1991-01-01,503094000.0
1992-01-01,534279100.0
1993-01-01,571024000.0
1994-01-01,623950200.0
1995-01-01,683940300.0
1996-01-01,737908000.0
1997-01-01,783441100.0
1998-01-01,743254800.0
1999-01-01,828483300.0
2000-01-01,903550900.0
2001-01-01,947394800.0
2002-01-01,1020582400.0
2003-01-01,1052703100.0
2004-01-01,1107416200.0
2005-01-01,1155129600.0
2006-01-01,1215939500.0
2007-01-01,1286458500.0
2008-01-01,1325219300.0
2009-01-01,1335724300.0
2010-01-01,1426618000.0
2011-01-01,1479198400.0
2012-01-01,1514736600.0
2013-01-01,1562673600.0
2014-01-01,1612717500.0
2015-01-01,1658020400.0
2016-01-01,1706880300.0
2017-01-01,1760811400.0
2018-01-01,1812005500.0
2019-01-01,1852666400.0
2020-01-01,1836881100.0
